"시점",합계:면적 (ha),합계:생산량 (톤),논벼:면적 (ha),논벼:10a당 생산량 (kg),논벼:생산량 (톤),밭벼:면적 (ha),밭벼:10a당 생산량 (kg),밭벼:생산량 (톤)
"1995",192306,867529,192031,454,867017,275,186,512
"1996",200222,1026997,199877,517,1026373,345,181,624
"1997",202375,1086684,201917,538,1085406,458,279,1278
"1998",206702,1013317,204747,493,1006514,1955,348,6803
"1999",211408,988237,204980,472,967025,6428,330,21212
"2000",219385,1055412,205057,493,1011138,14328,309,44274
"2001",225666,1075353,204602,502,1027608,21064,227,47745
"2002",212967,919076,202925,440,893742,10042,252,25334
"2003",204357,883484,194158,442,857477,10199,255,26007
"2004",204401,962522,191849,487,934280,12552,225,28242
"2005",199366,920213,190090,471,895910,9276,262,24303
"2006",195161,892241,187880,466,876296,7281,219,15945
"2007",193064,816147,187321,428,802536,5743,237,13611
"2008",189231,901302,183630,484,888531,5601,228,12771
"2009",187533,913092,183359,492,902089,4174,264,11003
"2010",183804,846035,180163,465,836939,3641,250,9095
"2011",174930,829040,172842,477,823955,2088,244,5086
"2012",173283,700405,171872,406,698093,1411,164,2312
"2013",170690,822795,169918,483,821354,772,187,1441
"2014",169585,809201,168763,478,806889,822,281,2312
"2015",170185,866202,169014,511,862946,1171,278,3256
"2016",166444,846236,165750,510,844611,694,234,1625
"2017",161442,827162,161192,513,826617,250,218,545
"2018",154970,766022,154803,495,765608,166,249,414
"2019",154091,725094,153919,471,724643,172,262,451
"2020",156230,687812,156026,441,687299,204,251,512
"2021",155435,789650,155101,508,788567,334,324,1082
"2022",154679,742913,154359,481,742043,320,272,870
"2023",149878,736985,149758,492,736694,120,242,290
"2024",147738,709368,147714,480,709315,25,217,53
